Mood,song_name,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,song_uri
Happy,Betty (Get Money),Yung Gravy,76.0,0.723,0.772,1.0,-6.784,1.0,0.0792,0.00524,1.15e-05,0.194,0.58,102.004,2.4411833333333335,spotify:track:4cacyP5c3PMlfnyjpg13xW
Happy,Rain On Me (with Ariana Grande),Lady Gaga,76.0,0.672,0.855,9.0,-3.764,1.0,0.0397,0.021,0.0,0.323,0.646,123.056,3.0366666666666666,spotify:track:24ySl2hOPGCDcxBxFIqWBu
Happy,Higher Power,Coldplay,76.0,0.507,0.828,10.0,-6.023,1.0,0.0449,0.00711,2.44e-05,0.261,0.489,127.845,3.5215833333333335,spotify:track:0939D7aT18uBDS2MTjWzct
Happy,Iko Iko (My Bestie),Justin Wellington,76.0,0.862,0.753,5.0,-5.356,1.0,0.0625,0.131,2.01e-06,0.077,0.827,105.039,3.047616666666667,spotify:track:7MC4XR9M9amdmKQr2iDF7i
Happy,Woke Up in Love,Kygo,75.0,0.643,0.585,2.0,-5.994,1.0,0.0369,0.225,0.0,0.0927,0.188,106.015,3.61455,spotify:track:21H0pUV2uPIPcFnFhgTBjo
Happy,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,75.0,0.722,0.893,0.0,-3.255,0.0,0.0475,0.0441,2.7275e-05,0.0673,0.439,119.932,1.9458333333333333,spotify:track:3iw6V4LH7yPj1ESORX9RIN
Happy,Special (feat. SZA),Lizzo,75.0,0.464,0.724,7.0,-5.019,1.0,0.0705,0.0188,0.0,0.194,0.303,82.526,2.9124833333333333,spotify:track:0rc1HCVoReqzzXF9jssqZk
Sad,When I Was Your Man,Bruno Mars,91.0,0.612,0.28,0.0,-8.648,1.0,0.0434,0.932,0.0,0.088,0.387,72.795,3.5637833333333333,spotify:track:0nJW01T7XtvILxQgC5J7Wh
Sad,When We Were Young,Adele,77.0,0.376,0.595,3.0,-5.936,1.0,0.0496,0.303,0.0,0.095,0.265,144.361,4.848333333333334,spotify:track:7GgWAITsYJaRM3r50rfh5w
Sad,Sparks,Coldplay,88.0,0.371,0.268,1.0,-10.506,1.0,0.0281,0.748,9.730000000000001e-05,0.104,0.165,102.617,3.784883333333333,spotify:track:7D0RhFcb3CrfPuTJ0obrod
Sad,Only Love Can Hurt Like This,Paloma Faith,86.0,0.566,0.885,8.0,-4.528,1.0,0.043250000000000004,0.0958,9.97e-05,0.14075000000000001,0.304,90.99,3.88155,spotify:track:62ke5zFUJN6RvtXZgVH0F8
Sad,Slide Away,Miley Cyrus,70.0,0.534,0.538,5.0,-6.673,1.0,0.0327,0.173,2.82e-06,0.14075000000000001,0.289,148.016,3.894233333333333,spotify:track:6QQtHdz4PNJWQX4nrAQGC9
