Mood,song_name,song_uri,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Happy,Woke Up in Love,spotify:track:21H0pUV2uPIPcFnFhgTBjo,Kygo,75,0.643,0.585,2,-5.994,1,0.0369,0.225,0.0,0.0927,0.188,106.015,216873
Happy,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,spotify:track:3iw6V4LH7yPj1ESORX9RIN,Nathan Evans,75,0.722,0.893,0,-3.255,0,0.0475,0.0441,0.000937,0.0673,0.439,119.932,116750
Happy,Special (feat. SZA),spotify:track:0rc1HCVoReqzzXF9jssqZk,Lizzo,75,0.464,0.724,7,-5.019,1,0.0705,0.0188,0.0,0.679,0.303,82.526,174749
Sad,When I Was Your Man,spotify:track:0nJW01T7XtvILxQgC5J7Wh,Bruno Mars,91,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,213827
Sad,When We Were Young,spotify:track:7GgWAITsYJaRM3r50rfh5w,Adele,77,0.376,0.595,3,-5.936,1,0.0496,0.303,0.0,0.095,0.265,144.361,290900
Sad,Sparks,spotify:track:7D0RhFcb3CrfPuTJ0obrod,Coldplay,88,0.371,0.268,1,-10.506,1,0.0281,0.748,0.0517,0.104,0.165,102.617,227093
Sad,Only Love Can Hurt Like This,spotify:track:62ke5zFUJN6RvtXZgVH0F8,Paloma Faith,86,0.566,0.885,8,-4.528,1,0.0818,0.0958,9.97e-05,0.334,0.304,90.99,232893
Sad,Slide Away,spotify:track:6QQtHdz4PNJWQX4nrAQGC9,Miley Cyrus,70,0.534,0.538,5,-6.673,1,0.0327,0.173,2.82e-06,0.248,0.289,148.016,233654
Sad,Another Love,spotify:track:3JvKfv6T31zO0ini8iNItO,Tom Odell,94,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,244360
Sad,Too Good At Goodbyes,spotify:track:1mXVgsBdtIVeCLJnSnmtdV,Sam Smith,88,0.681,0.372,5,-8.237,1,0.0432,0.64,0.0,0.169,0.476,91.873,201000
Sad,Iris,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,87,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,289533
Sad,SLOW DANCING IN THE DARK,spotify:track:0rKtyWc8bvkriBthvHKY8d,Joji,86,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,209274
Sad,Easy On Me,spotify:track:0gplL1WMoJ6iYaPgMCL0gX,Adele,86,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695
Sad,Fix You,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,Coldplay,87,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,295533
Sad,Lose You To Love Me,spotify:track:4l0Mvzj72xxOpRrp6h8nHi,Selena Gomez,84,0.488,0.343,4,-8.985,1,0.0436,0.556,0.0,0.21,0.0978,102.819,206459
Sad,A Thousand Years,spotify:track:6lanRgr6wXibZr8KgzXxBl,Christina Perri,84,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,285120
Sad,Dancing On My Own,spotify:track:2BOqDYLOJBiMOXShCV1neZ,Calum Scott,83,0.681,0.174,1,-8.745,1,0.0315,0.837,3.35e-05,0.0983,0.231,112.672,260285
Sad,All I Want,spotify:track:0NlGoUyOJSuSHmngoibVAs,Kodaline,83,0.188,0.411,0,-9.733,1,0.0484,0.174,0.153,0.0843,0.159,187.376,305747
Sad,Stay With Me,spotify:track:5Nm9ERjJZ5oyfXZTECKmRt,Sam Smith,87,0.418,0.42,0,-6.444,1,0.0414,0.588,6.39e-05,0.11,0.184,84.094,172724
Sad,I Fall Apart,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,Post Malone,83,0.556,0.538,8,-5.408,0,0.0382,0.0689,0.0,0.196,0.291,143.95,223347
Sad,July,spotify:track:6J2LdBN97cDWn0MLxYh9HB,Noah Cyrus,83,0.708,0.186,9,-8.953,0,0.042,0.868,0.0,0.0779,0.322,72.541,156106
Sad,Happier,spotify:track:2RttW7RAu5nOAfq6YFvApB,Ed Sheeran,82,0.522,0.385,0,-7.355,1,0.0288,0.536,0.0,0.135,0.236,89.792,207520
Sad,Drops of Jupiter (Tell Me),spotify:track:2hKdd3qO7cWr2Jo0Bcs0MA,Train,82,0.481,0.638,0,-5.862,1,0.0276,0.153,0.0,0.154,0.497,79.064,259933
Sad,Landslide,spotify:track:5ihS6UUlyQAfmp48eSkxuQ,Fleetwood Mac,82,0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,199493
Sad,Be Alright,spotify:track:3EPXxR3ImUwfayaurPi3cm,Dean Lewis,82,0.553,0.586,11,-6.319,1,0.0362,0.697,0.0,0.0813,0.443,126.684,196373
Sad,Love Of My Life,spotify:track:1mw0RgNXIpYRyyCdBQbLgA,Harry Styles,81,0.555,0.536,7,-8.233,1,0.0452,0.669,0.0,0.0623,0.203,118.057,191638
Sad,You Are The Reason,spotify:track:69vToJ9BMbbLlFZo7k7A7B,Calum Scott,82,0.329,0.235,10,-7.699,1,0.0303,0.918,0.0,0.137,0.22,171.006,204326
Sad,What A Time (feat. Niall Horan),spotify:track:5WtfUKzXircvW8l5aaVZWT,Julia Michaels,81,0.516,0.467,0,-6.184,1,0.0302,0.662,0.0,0.0853,0.386,132.861,173307
Sad,The Night We Met,spotify:track:0QZ5yyl6B6utIWkxeBDxQN,Lord Huron,81,0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,208212
